,8:30 - 10AM,10:00-11:30AM,11:30AM-1PM,,2:00- 3:30pm,3:30-5:00PM
Sunday,,"Stat 3205 
JHK R#430","Algo - 3203
MTA R#430",Break,SDP Lab - 3216 MFA+MRR [GA] R#706,
Monday,"Algo - 3203
MTA R#430","OS - 3201 
MHK R#430","Automata - 3204 
MMK R#430",,,
Tuesday,"STAT 3205 
JHK R#430"," Num. Method- 3202 
PR R#430","OS - 3201 
MHK R#430",,"ENG 3217 
SP+MIb [GA/GB] R#707",
Wednesday," Num. Method- 3202 
PR R#430","OS Lab - 3211 MHK+JA 
[GA] R#706",,," OS Lab - 3211 
MHK+JA [GB] R#709",
Thursday,SDP Lab - 3216 MFA+MRR [GB] R#704,,"Automata - 3204 
MMK R#430",,"Num. Methods Lab - 3212 
PR+MIb [GA/GB] R#707",
,,,,,,
,,,,,,
CSE 3201,Operating Systems,,,Mosaddek Hossain Kamal,,
CSE 3202,Numerical Methods,,,Palash Roy,,
CSE 3203,Design and Analysis of Algorithms - II,,,Md. Tanvir Alam,,
CSE 3204,"Formal Language, Auutomata and Computability",,,Md. Mosaddek Khan,,
CSE 3205,Introduction to Probability and Statistics,,,"Dr. Md. Jamil Hasan Karami, Statistics",,
CSE 3211,Operating Systems Lab,,,Mosaddek Hossain Kamal + Jargis Ahmed,,
CSE 3212,Numerical Methods Lab,,,Palash Roy + Muhammad Ibrahim,,
CSE 3216,Software Design Patterns Lab,,,Md. Fahim Arefin + Md. Mahmudur Rahman,,
CSE 3217,Technical Writing and Presentation Lab,,,Suraiya Parvin + Muhammad Ibrahim,,
